iter	Logloss
0	0.6827899549
1	0.6729499503
2	0.6636799943
3	0.6549414043
4	0.6466741815
5	0.6388778298
6	0.6313843804
7	0.624375044
8	0.6177615858
9	0.6115455189
10	0.6055765851
11	0.5999975325
12	0.5947044751
13	0.5897247343
14	0.5850494298
15	0.5806243468
16	0.5763313059
17	0.572229421
18	0.5684607765
19	0.5649120331
20	0.5615547238
21	0.5583562477
22	0.5552703934
23	0.5524115663
24	0.5497431717
25	0.5471134262
26	0.5447309824
27	0.5424063281
28	0.5402727318
29	0.5382318156
30	0.5362499524
31	0.5344590938
32	0.5326046562
33	0.5308351238
34	0.5291322757
35	0.5276862295
36	0.5263313753
37	0.5250245797
38	0.5237351989
39	0.522578979
40	0.521405686
41	0.5203511625
42	0.5193452402
43	0.5183537474
44	0.5174751321
45	0.5165870269
46	0.5157245493
47	0.5149115256
48	0.5142020648
49	0.5134828463
50	0.5128387149
51	0.5121934767
52	0.5115925145
53	0.5109085861
54	0.5103283027
55	0.5097642484
56	0.5092861622
57	0.5088376175
58	0.5083949901
59	0.5078365873
60	0.5073509666
61	0.5069500885
62	0.5066264999
63	0.5063119699
64	0.5059894898
65	0.505692761
66	0.5054301644
67	0.5051520317
68	0.5048842044
69	0.5046304466
70	0.504373012
71	0.5041663381
72	0.5038298674
73	0.5034688489
74	0.5032372916
75	0.5030374473
76	0.5028745341
77	0.502723232
78	0.5025495413
79	0.5023813993
80	0.5022523701
81	0.5021301096
82	0.5020058617
83	0.5018753164
84	0.501758784
85	0.5015062894
86	0.5013713247
87	0.5012207283
88	0.5010353272
89	0.5009234008
90	0.5007325583
91	0.5005828553
92	0.5004519151
93	0.5003037829
94	0.500197959
95	0.5000168017
96	0.4999549171
97	0.4998304795
98	0.4996332402
99	0.4994485931
100	0.4994050899
101	0.4992576477
102	0.4991468464
103	0.498946354
104	0.4988737065
105	0.498694037
106	0.4984416375
107	0.4983206002
108	0.4982630196
109	0.4982135981
110	0.498108018
111	0.4979701255
112	0.497805698
113	0.4977536055
114	0.4976149733
115	0.4975697753
116	0.4974386405
117	0.4973641107
118	0.4973286946
119	0.4972197778
120	0.4971343637
121	0.4970646405
122	0.4969834367
123	0.4969295578
124	0.4968321566
125	0.4968201979
126	0.4967232053
127	0.4966210766
128	0.4965355559
129	0.4964592221
130	0.4964369453
131	0.4963348891
132	0.4962564513
133	0.4960716364
134	0.4959645032
135	0.495820918
136	0.4957358779
137	0.4956897586
138	0.4955898243
139	0.495537452
140	0.495479609
141	0.4954178633
142	0.4953555313
143	0.4953521941
144	0.4953098149
145	0.4952279416
146	0.4951134369
147	0.4949844578
148	0.4949638471
149	0.4949004546
150	0.4947433332
151	0.4946161916
152	0.4945016053
153	0.494468543
154	0.4944203157
155	0.4944176672
156	0.4943097264
157	0.4942627675
158	0.494194727
159	0.4941365347
160	0.4941282711
161	0.4941030704
162	0.4940275426
163	0.4940239215
164	0.4940156855
165	0.4939537378
166	0.4939050416
167	0.4938091314
168	0.493746156
169	0.4936912648
170	0.493662754
171	0.4935881161
172	0.4935781248
173	0.4934265809
174	0.4933589195
175	0.4932885089
176	0.4932306396
177	0.4930724384
178	0.493025449
179	0.4929452278
180	0.4929253468
181	0.492875307
182	0.4928606743
183	0.4928603334
184	0.4928312656
185	0.4927429846
186	0.4926774233
187	0.4926755951
188	0.4925986197
189	0.4925978792
190	0.4925790819
191	0.49253923
192	0.4925111667
193	0.4924047154
194	0.492377424
195	0.4922597168
196	0.4922091469
197	0.4921895591
198	0.4921765824
199	0.4921303905
200	0.4920208987
201	0.4919808677
202	0.4919807747
203	0.4919770401
204	0.4919472062
205	0.4918686789
206	0.4918594904
207	0.4918398272
208	0.491794131
209	0.4917876902
210	0.4917329806
211	0.4916897773
212	0.4916556945
213	0.4916394712
214	0.4915825799
215	0.4914969717
216	0.491492935
217	0.4914636395
218	0.4914622441
219	0.4913715828
220	0.4913712144
221	0.4913083146
