iter	Passed	Remaining
0	21	21900
1	33	16752
2	44	14900
3	56	14191
4	68	13727
5	76	12619
6	84	11995
7	90	11270
8	97	10773
9	104	10380
10	115	10371
11	125	10356
12	132	10053
13	142	10049
14	149	9818
15	156	9599
16	162	9382
17	169	9224
18	176	9099
19	183	8979
20	190	8866
21	197	8765
22	204	8665
23	210	8571
24	218	8513
25	225	8433
26	232	8364
27	238	8295
28	245	8234
29	252	8168
30	259	8116
31	264	8002
32	271	7950
33	278	7906
34	287	7916
35	297	7957
36	302	7873
37	309	7835
38	317	7824
39	324	7799
40	331	7762
41	339	7751
42	346	7720
43	354	7704
44	361	7670
45	368	7641
46	375	7609
47	382	7579
48	388	7548
49	395	7520
50	402	7495
51	409	7467
52	416	7443
53	427	7484
54	434	7458
55	441	7434
56	448	7417
57	455	7390
58	462	7369
59	468	7347
60	475	7314
61	482	7292
62	488	7272
63	496	7256
64	503	7236
65	510	7217
66	514	7168
67	521	7147
68	528	7135
69	536	7121
70	543	7107
71	550	7097
72	557	7080
73	565	7075
74	572	7059
75	579	7042
76	586	7029
77	592	7008
78	599	6993
79	606	6979
80	614	6975
81	622	6965
82	629	6957
83	637	6950
84	644	6937
85	654	6955
86	661	6943
87	674	6988
88	681	6975
89	688	6961
90	695	6949
91	702	6932
92	708	6906
93	718	6925
94	728	6944
95	736	6932
96	742	6915
97	749	6901
98	756	6885
99	763	6871
100	769	6847
101	776	6838
102	783	6823
103	790	6810
104	797	6798
105	804	6785
106	811	6773
107	819	6772
108	828	6769
109	836	6770
110	842	6749
111	850	6744
112	858	6740
113	866	6736
114	874	6730
115	882	6722
116	889	6711
117	896	6699
118	903	6692
119	912	6689
120	919	6679
121	927	6673
122	935	6667
123	942	6661
124	954	6679
125	959	6654
126	965	6638
127	973	6632
128	980	6622
129	988	6615
130	995	6604
131	1002	6595
132	1008	6576
133	1016	6569
134	1024	6561
135	1031	6551
136	1038	6540
137	1049	6554
138	1057	6547
139	1064	6539
140	1073	6537
141	1080	6530
142	1088	6523
143	1093	6498
144	1103	6506
145	1110	6497
146	1118	6488
147	1125	6479
148	1132	6467
149	1142	6473
150	1154	6491
151	1172	6539
152	1180	6533
153	1191	6542
154	1197	6530
155	1203	6508
156	1212	6508
157	1218	6492
158	1225	6480
159	1232	6469
160	1239	6460
161	1247	6453
162	1254	6443
163	1261	6432
164	1267	6414
165	1274	6403
166	1280	6387
167	1286	6369
168	1295	6371
169	1304	6370
170	1312	6364
171	1321	6360
172	1329	6355
173	1340	6365
174	1350	6364
175	1358	6358
176	1368	6361
177	1375	6350
178	1383	6343
179	1390	6335
180	1400	6335
181	1407	6325
182	1417	6328
183	1422	6307
184	1430	6301
185	1439	6298
186	1447	6292
187	1458	6298
188	1467	6297
189	1472	6277
190	1487	6300
191	1495	6295
192	1505	6294
193	1513	6286
194	1524	6294
195	1535	6299
196	1544	6295
197	1553	6293
198	1562	6288
199	1572	6288
200	1583	6295
201	1592	6291
202	1599	6278
203	1604	6260
204	1612	6253
205	1618	6237
206	1624	6224
207	1631	6213
208	1641	6212
209	1651	6213
210	1661	6211
211	1667	6198
212	1673	6182
213	1680	6171
214	1686	6157
215	1697	6160
216	1702	6144
217	1709	6131
218	1714	6114
219	1721	6104
220	1727	6087
221	1734	6077
222	1741	6067
223	1748	6055
224	1755	6045
225	1759	6026
226	1769	6025
227	1778	6021
228	1785	6011
229	1793	6002
230	1799	5989
231	1809	5990
232	1820	5992
233	1831	5994
234	1839	5989
235	1845	5975
236	1852	5962
237	1863	5965
238	1872	5961
239	1881	5956
240	1889	5951
241	1900	5953
242	1910	5950
243	1917	5940
244	1926	5935
245	1935	5931
246	1944	5928
247	1953	5924
248	1964	5925
249	1973	5919
250	1980	5909
251	1989	5905
252	1996	5895
253	2010	5903
254	2019	5900
255	2029	5897
256	2038	5893
257	2046	5884
258	2055	5881
259	2067	5883
260	2075	5876
261	2082	5865
262	2093	5867
263	2102	5861
264	2110	5854
265	2121	5853
266	2126	5839
267	2135	5832
268	2141	5818
269	2146	5802
270	2153	5792
271	2159	5780
272	2165	5766
273	2172	5757
274	2178	5742
275	2183	5727
276	2189	5713
277	2196	5704
278	2203	5694
279	2210	5684
280	2215	5669
281	2222	5659
282	2230	5650
283	2234	5634
284	2240	5619
285	2247	5611
286	2254	5602
287	2262	5592
288	2267	5577
289	2272	5563
290	2279	5553
291	2286	5542
292	2290	5528
293	2297	5518
294	2305	5508
295	2310	5496
296	2318	5487
297	2323	5473
298	2330	5464
299	2337	5453
300	2341	5438
301	2349	5429
302	2356	5421
303	2363	5411
304	2370	5402
305	2376	5390
306	2383	5380
307	2390	5371
308	2397	5361
309	2404	5352
310	2411	5343
311	2419	5335
312	2426	5326
313	2431	5312
314	2438	5302
315	2445	5293
316	2452	5284
317	2457	5270
318	2463	5258
319	2468	5245
320	2475	5236
321	2480	5223
322	2487	5214
323	2492	5200
324	2502	5198
325	2509	5189
326	2516	5179
327	2521	5166
328	2526	5153
329	2535	5147
330	2541	5136
331	2546	5123
332	2553	5115
333	2560	5106
334	2567	5097
335	2574	5087
336	2582	5079
337	2589	5071
338	2595	5061
339	2603	5053
340	2608	5040
341	2617	5035
342	2624	5027
343	2629	5014
344	2635	5004
345	2643	4995
346	2650	4987
347	2657	4978
348	2664	4970
349	2669	4957
350	2676	4949
351	2684	4941
352	2691	4932
353	2698	4924
354	2705	4915
355	2712	4907
356	2718	4896
357	2725	4887
358	2730	4876
359	2738	4867
360	2748	4865
361	2754	4853
362	2760	4844
